"";"url";"total_sentence_count";"num_biased_sentences";"average_bias_strength";"biased_sentence_percentage";"conclusion";"domain";"newsguard"
"1";"https://abc13.com/us-shortages-gas-shortage-2021-food-coming-chicken/10598712/";69;8;0,625;11,5942028985507;"The article is biased regarding the shortages of various products, employing word choice and emotional sensationalism to overstate the severity of the issues, as well as causal misunderstanding to oversimplify complex supply chain and economic dynamics.";"abc13.com";95
"2";"https://abc7.com/covid-supply-chain-shortage-2021-port-of-los-angeles-shopping/11141130/";30;2;0,6;6,66666666666667;"The article exhibits a Word Choice Bias by using phrases that imply scarcity and by contrasting 'panic buying' with 'complexities of the global supply chain' in a way that may influence the reader's perception of the causes of the current supply chain issues.";"abc7.com";95
"3";"https://abcnews.go.com/Politics/biden-replace-white-house-doctor-long-time-physician/story?id=75456901";47;4;0,575;8,51063829787234;"The article exhibits bias regarding the discussion of the White House medical unit's credibility under the Trump administration, the rarity of long-term personal physicians for presidents, the scrutiny over President Biden's health due to his age, and the implications of age on capability. The general bias tendency leans towards using word choice and emotional sensationalism to influence the reader's perception of these topics.";"abcnews.go.com";82,5
"4";"https://abcnews.go.com/Politics/whats-causing-americas-massive-supply-chain-disruptions/story?id=80587129";39;7;0,6;17,948717948718;"The article is biased regarding the topic of supply chain disruptions, showing a general bias tendency towards portraying the situation in a more negative light than a balanced view would provide. The biases identified include Emotional Sensationalism, Causal Misunderstanding, Generalization, Word Choice, and Political Bias.";"abcnews.go.com";82,5
"5";"https://abcnews.go.com/US/nature-based-man-made-unraveling-debate-origins-covid/story?id=78268577";82;11;0,6;13,4146341463415;"The article is biased regarding the debate over the origins of COVID-19, particularly in its discussion of the lab-leak theory. It exhibits a general bias tendency through the use of ad hominem attacks, word choice that subtly influences the reader's perception, and a focus on political context that may detract from the scientific discussion.";"abcnews.go.com";82,5
"6";"https://apnews.com/599092557b41490d9f0b66a24ee5105a";17;2;0,6;11,7647058823529;"The article exhibits bias through the use of word choice, particularly in framing Moscow's actions and the emotional state of the demonstrators, which influences the reader towards a negative perception of these aspects. The general bias tendency leans towards portraying the EU deal setback and the influence of Moscow in a negative light.";"apnews.com";95
"7";"https://apnews.com/95443ddffcd6c0ba8086947710b134f1";186;19;0,542105263157895;10,2150537634409;"The article contains multiple instances of bias, including Ad Hominem Bias, Emotional Sensationalism Bias, Word Choice Bias, Causal Misunderstanding Bias, Anecdotal Evidence Bias, Political Bias, and Speculation Bias, regarding the topics of government responses, public health measures, and individual behaviors during the COVID-19 pandemic. The biases tend to oversimplify complex issues, evoke emotional responses, and frame discussions in a manner that may influence readers' perceptions without providing a balanced or evidence-based view.";"apnews.com";95
"8";"https://apnews.com/article/africa-coronavirus-vaccine-coronavirus-pandemic-business-government-and-politics-2d5eab50c1ef8bd63b1a48331f4c3025";96;12;0,6;12,5;"The article is biased regarding the topic of vaccine distribution, particularly in its portrayal of the challenges faced by Chad and other African countries. It exhibits a general bias tendency through the use of word choice and emotional sensationalism to highlight disparities and injustices, as well as speculative statements that may unnecessarily raise concerns.";"apnews.com";95
"9";"https://apnews.com/article/automated-insights-earnings-arizona-business-government-and-politics-17e113b04b660e159e3dec0e80a84be8";80;5;0,6;6,25;"The article exhibits bias regarding the budget impasse in Arizona, particularly through the use of word choice and emotional sensationalism, which imply negative judgments and create a dramatic narrative without presenting a balanced view.";"apnews.com";95
"10";"https://apnews.com/article/az-state-wire-arizona-government-and-politics-abfc7ad3cdf629a2e1e6760a2402b2d9";12;1;0,6;8,33333333333333;"The article exhibits a Word Choice Bias in discussing the Supreme Court's ruling on legislative immunity, implying a level of uncertainty that could skew the reader's understanding of the legal decision.";"apnews.com";95
